ParticipantID	HurricaneName	Rating	HurricaneGender	HurricaneAge
94	Hanna	5	female	young
94	Marco	3	male	young
95	Arthur	3.5	male	old
95	Bertha	5.5	female	old
95	Cristobal	6	male	young
95	Dolly	2.5	female	old
95	Fay	6	female	old
95	Omar	4.5	male	young
95	Kyle	2.5	male	young
95	Laura	5	female	old
95	Hanna	4	female	young
95	Marco	5	male	young
96	Arthur	5.5	male	old
96	Bertha	6	female	old
96	Cristobal	3.5	male	young
96	Dolly	5	female	old
96	Fay	3	female	old
96	Omar	4.5	male	young
96	Kyle	3	male	young
96	Laura	2	female	old
96	Hanna	3.5	female	young
96	Marco	2.5	male	young
97	Arthur	5	male	old
97	Bertha	5	female	old
97	Cristobal	5	male	young
97	Dolly	5	female	old
97	Fay	5	female	old
97	Omar	5	male	young
97	Kyle	4.5	male	young
97	Laura	5	female	old
97	Hanna	5	female	young
97	Marco	5	male	young
98	Arthur	4	male	old
98	Bertha	4	female	old
98	Cristobal	4	male	young
98	Dolly	4	female	old
98	Fay	4	female	old
98	Omar	4	male	young
98	Kyle	4	male	young
98	Laura	5	female	old
98	Hanna	4	female	young
98	Marco	4	male	young
99	Arthur	4	male	old
99	Bertha	4.5	female	old
99	Cristobal	3.5	male	young
99	Dolly	6.5	female	old
99	Fay	3	female	old
99	Omar	6	male	young
99	Kyle	5	male	young
99	Laura	5	female	old
99	Hanna	1.5	female	young
99	Marco	2	male	young
100	Arthur	1	male	old
100	Bertha	2	female	old
100	Cristobal	2	male	young
100	Dolly	1	female	old
100	Fay	4	female	old
100	Omar	5.5	male	young
100	Kyle	5	male	young
100	Laura	4	female	old
100	Hanna	7	female	young
100	Marco	3.5	male	young
101	Arthur	3.5	male	old
101	Bertha	4	female	old
101	Cristobal	3.5	male	young
101	Dolly	5	female	old
101	Fay	1.5	female	old
101	Omar	2.5	male	young
101	Kyle	3	male	young
101	Laura	2.5	female	old
101	Hanna	1.5	female	young
101	Marco	2.5	male	young
102	Arthur	4.5	male	old
102	Bertha	6.5	female	old
102	Cristobal	5.5	male	young
102	Dolly	4	female	old
102	Fay	5.5	female	old
102	Omar	4.5	male	young
102	Kyle	6.5	male	young
102	Laura	5	female	old
102	Hanna	6	female	young
102	Marco	5	male	young
103	Arthur	5	male	old
103	Bertha	5	female	old
103	Cristobal	5	male	young
103	Dolly	6	female	old
103	Fay	5	female	old
103	Omar	5	male	young
103	Kyle	6	male	young
103	Laura	5	female	old
103	Hanna	5	female	young
103	Marco	5	male	young
104	Arthur	4	male	old
104	Bertha	4	female	old
104	Cristobal	1.5	male	young
104	Dolly	2	female	old
104	Fay	4	female	old
104	Omar	3	male	young
104	Kyle	5.5	male	young
104	Laura	5.5	female	old
104	Hanna	3.5	female	young
104	Marco	4.5	male	young
105	Arthur	5	male	old
105	Bertha	4.5	female	old
105	Cristobal	4.5	male	young
105	Dolly	5	female	old
105	Fay	4.5	female	old
105	Omar	4.5	male	young
