HouseholdSize,Adults_D,H2O_Cost,Under17,Child1_D,Barcode_ID,Has_Barcode
1,0,0,0,NA,112045,Yes
2,0,0,1,0,112084,Yes
2,0,0,0,NA,112085,Yes
4,0,0,6,0,112130,Yes
4,0,0,1,2,112140,Yes
2,0,0,0,NA,112142,Yes
4,0,0,4,0,112144,Yes
1,0,0,4,0,112146,Yes
3,0,0,1,0,112162,Yes
2,2,0,0,NA,112166,Yes
2,0,0,2,2,112170,Yes
2,0,0,3,0,112172,Yes
2,0,0,1,0,112177,Yes
2,0,0,3,0,112181,Yes
4,0,0,3,0,112189,Yes
1,0,0,0,NA,112191,Yes
3,0,0,3,0,112003,Yes
2,0,0,0,NA,112016,Yes
2,0,0,0,NA,112062,Yes
2,0,0,0,NA,112073,Yes
3,0,0,0,NA,112087,Yes
2,0,0,1,0,112089,Yes
5,0,0,3,0,112105,Yes
5,1,0,2,0,112125,Yes
2,1,0,6,0,112138,Yes
5,0,0,0,NA,112152,Yes
2,0,0,4,0,112160,Yes
3,0,25,5,0,112178,Yes
5,0,0,0,NA,112179,Yes
2,0,0,3,0,112212,Yes
8,0,0,0,NA,112215,Yes
2,1,0,1,0,112228,Yes
4,0,0,5,0,112234,Yes
4,0,0,2,0,112241,Yes
2,0,0,4,0,112127,Yes
5,0,0,3,0,112141,Yes
2,0,0,4,0,112187,Yes
5,0,5,1,0,112199,Yes
3,0,0,2,0,112200,Yes
3,0,0,2,0,112201,Yes
2,0,0,2,0,112203,Yes
4,0,0,2,0,112209,Yes
2,2,0,1,5,112211,Yes
8,4,0,4,0,112222,Yes
2,0,0,6,0,112230,Yes
3,0,0,6,0,112232,Yes
4,0,0,0,NA,112185,No
3,0,0,2,0,112086,Yes
4,1,0,0,NA,112128,Yes
4,0,0,3,0,112135,Yes
2,0,0,1,0,112157,Yes
2,0,0,2,0,112159,Yes
4,0,0,2,0,112161,Yes
3,0,0,4,0,112173,Yes
5,0,0,2,0,112217,Yes
5,0,0,2,0,112225,Yes
4,0,0,1,0,112229,Yes
6,0,0,5,0,112004,Yes
5,0,0,2,0,112090,Yes
1,0,0,1,0,112001,Yes
2,0,0,0,NA,112005,Yes
3,0,0,0,NA,112007,Yes
2,0,5,2,0,112021,Yes
2,1,0,0,NA,112022,Yes
1,0,0,1,0,112024,Yes
6,1,0,2,0,112026,Yes
3,0,0,0,NA,112034,Yes
7,0,0,4,0,112043,Yes
2,0,10,0,NA,112060,Yes
4,0,0,1,0,112069,Yes
2,0,0,4,0,112078,Yes
4,0,0,1,0,112079,Yes
3,0,0,1,0,112082,Yes
1,0,0,1,0,112091,Yes
2,0,0,5,0,112098,Yes
